יחיד,רבים
ביצה,ביצים
חביתה,חביתות
יוגורט,יוגורטים
גבינה לבנה,גבינות לבנות
קוטג',קוטג'ים
חלב,
שוקו,
טוסט,טוסטים
לחמנייה,לחמניות
פלאפל,כדורי פלאפל
טונה,
סלט ירקות,סלטי ירקות
שוקולד מריר,שוקולדים מרירים
קרקר,קרקרים
אורז לבן,
פסטה,
קוסקוס,
חזה עוף,חזות עוף
המבורגר,המבורגרים
פיצה,פיצות
פירה,
בורקס גבינה,בורקסים עם גבינה
בורקס תפוחי אדמה,בורקסים עם תפוחי אדמה
סושי,סושיים
קציצת ירק,קציצות ירק
סטייק בקר,סטייקים של בקר
תפוח,תפוחים
בננה,בננות
מלפפון,מלפפונים
עגבנייה,עגבניות
תות,תותים
בוטנים,
שקד,שקדים
קשיו,
עוגת שוקולד,עוגות שוקולד
עוגת גבינה,עוגות גבינה
עוגייה,עוגיות
שווארמה,
נקניקיה,נקניקיות
כנף,כנפיים
